MapID.x,Area Name,White alone persons,Black or African-American alone persons,Native American alone persons,Asian alone persons,Pacific Islander alone persons,Other race alone persons,Persons of two or more race,Persons under 5 years,Persons 5-9 years,Persons 10-14 years,Persons 15-17 years,Persons 18 and 19 years,Persons 20 years,Persons 21 years,Persons 22-24 years,Persons 25-29 years,Persons 30-34 years,Persons 35-39 years,Persons 40-44 years,Persons 45-49 years,Persons 50-54 years,Persons 55-59 years,Persons 60 and 61 years,Persons 62-64 years,Persons 65 and 66 years,Persons 67-69 years,Persons 70-74 years,Persons 75-79 years,Persons 80-84 years,Persons 85 years and over,MapID.y,Male age at death under 28 days - 2011-13 Avg,Male age at death 1-12 months - 2011-13 Avg,Male age at death 1-4 years - 2011-13 Avg,Male age at death 5-9 years - 2011-13 Avg,Male age at death 10-14 years - 2011-13 Avg,Male age at death 15-19 years - 2011-13 Avg,Male age at death 20-24 years - 2011-13 Avg,Male age at death 25-29 years - 2011-13 Avg,Male age at death 30-34 years - 2011-13 Avg,Male age at death 35-39 years - 2011-13 Avg,Male age at death 40-44 years - 2011-13 Avg,Male age at death 45-49 years - 2011-13 Avg,Male age at death 50-54 years - 2011-13 Avg,Male age at death 55-59 years - 2011-13 Avg,Male age at death 60-64 years - 2011-13 Avg,Male age at death 65-69 years - 2011-13 Avg,Male age at death 70-74 years - 2011-13 Avg,Male age at death 75-79 years - 2011-13 Avg,Male age at death 80-84 years - 2011-13 Avg,Male age at death 85+ years - 2011-13 Avg,Female age at death under 28 days - 2011-13 Avg,Female age at death 1-12 months - 2011-13 Avg,Female age at death 1-4 years - 2011-13 Avg,Female age at death 5-9 years - 2011-13 Avg,Female age at death 10-14 years - 2011-13 Avg,Female age at death 15-19 years - 2011-13 Avg,Female age at death 20-24 years - 2011-13 Avg,Female age at death 25-29 years - 2011-13 Avg,Female age at death 30-34 years - 2011-13 Avg,Female age at death 35-39 years - 2011-13 Avg,Female age at death 40-44 years - 2011-13 Avg,Female age at death 45-49 years - 2011-13 Avg,Female age at death 50-54 years - 2011-13 Avg,Female age at death 55-59 years - 2011-13 Avg,Female age at death 60-64 years - 2011-13 Avg,Female age at death 65-69 years - 2011-13 Avg,Female age at death 70-74 years - 2011-13 Avg,Female age at death 75-79 years - 2011-13 Avg,Female age at death 80-84 years - 2011-13 Avg,Female age at death 85+ years - 2011-13 Avg,MapID,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous
10035,"10035 - East Harlem, Middle",7734,15558,282,2011,41,8927,1494,2308,2097,2385,1132,881,426,473,1865,3335,3179,2491,2397,2135,2863,2129,818,924,465,891,1050,730,519,556,10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10035,20,48,206,81,122,76,88,27,3,0,6,87,3,2,3,5,8,0,30,1,1,37,23,52,7,36,2,37,34,90,9,5,154,20,9,148,20,16
10036,10036 - Theatre District/Clinton,15851,1838,113,4168,0,1438,479,650,335,136,282,150,308,362,1496,3720,3428,2044,1978,1659,1727,1684,825,642,438,537,712,311,278,183,10036,0,0,0,0,0,0,0,0,0,2,0,4,5,5,11,8,9,11,8,14,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,4,4,7,5,21,10036,8,9,9,16,128,8,53,13,0,0,2,63,58,0,0,3,6,37,14,2,0,96,17,16,5,130,5,5,48,80,6,3,27,7,7,107,57,3
10037,"10037 - East Harlem, North",2346,14924,33,577,23,1599,1033,1379,1219,1105,673,360,135,207,797,2002,2117,1395,1121,1399,1342,1389,505,667,296,375,593,493,350,617,10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10037,6,15,24,43,57,15,35,4,0,0,0,10,0,2,1,2,0,0,10,0,0,8,2,18,6,0,7,9,11,17,0,0,24,3,1,28,22,2
10038,10038 - South St. Seaport/Chinatown,10764,2078,57,7677,0,970,636,801,546,673,405,1198,277,288,1288,3101,2410,1700,1278,1278,1239,1289,602,623,387,464,624,646,463,603,10038,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,6,7,13,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,4,9,12,47,10038,3,2,3,5,28,0,37,1,0,0,0,15,13,1,0,0,0,0,8,2,0,40,18,11,1,46,0,6,48,21,4,6,9,9,4,3,10,11
10039,"10039 - Central Harlem, North",2965,17861,308,314,3,4288,1073,2098,1685,2047,979,771,199,460,1680,2609,2271,1644,1827,1567,1798,1482,495,656,235,355,597,471,511,373,10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10039,0,0,0,2,140,1,34,0,0,0,0,15,1,0,1,0,0,0,4,0,0,4,0,9,4,4,0,10,7,1,5,2,23,2,2,30,9,0
10040,10040 - North Washington Heights,16734,4795,369,1263,12,19225,2419,2393,2037,2113,1201,914,683,652,2247,4619,4062,3409,2786,2990,3002,2471,915,1699,724,895,1685,937,890,1494,10040,0,0,0,0,0,0,2,2,0,2,0,4,5,6,8,11,14,12,13,32,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,6,9,13,19,81,10040,2,3,4,1,193,2,94,1,0,0,0,8,0,0,1,3,0,0,29,0,0,16,0,9,0,2,1,5,3,6,0,3,10,10,1,0,22,0
10044,10044 - Roosevelt Island,6234,1710,0,3034,0,255,498,669,180,335,289,34,85,54,940,993,1317,1028,741,755,733,673,373,464,283,219,641,345,280,300,10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10044,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0
10128,10128 - Yorkville,50443,3111,6,5815,8,967,2435,3613,2544,2260,1146,892,304,321,2445,7405,6864,4436,4266,4545,4322,3128,1509,2105,1406,1920,2544,1875,1504,1428,10128,0,0,0,0,0,0,0,0,0,2,2,3,4,8,8,10,11,14,20,39,0,0,0,0,0,0,0,0,0,0,0,2,4,5,11,13,14,17,25,77,10128,172,73,20,9,323,41,119,3,0,0,2,16,2,0,0,1,1,0,11,0,0,13,7,26,1,9,8,5,46,59,1,0,7,33,2,104,215,0
10280,10280 - Battery Park City,11048,219,0,2870,0,257,506,1655,1028,641,260,91,57,8,349,1018,1836,2144,1721,899,1054,518,309,313,257,169,262,66,136,108,10280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10280,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,1,1,0,0,1
10301,10301 - New Brighton/Grymes Hill,22520,11411,88,2555,3,2680,1880,3018,2484,2799,1625,1250,792,757,1675,2238,2645,2865,2696,2833,2996,2781,928,1498,730,969,1240,1061,560,696,10301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10301,3921,1847,228,166,40,33,28,8,2,1,3,128,2,0,5,9,3,1,54,0,3,39,0,27,6,79,10,46,12,200,4,12,483,38,14,0,15,30
10302,10302 - Port Richmond,10892,3315,68,1234,2,1587,774,1190,1365,1078,617,497,257,213,735,1940,1347,956,1169,1160,1330,1202,448,470,241,437,379,417,210,213,10302,0,0,0,0,0,0,2,0,0,0,2,5,6,5,6,5,6,4,6,10,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,3,3,6,6,20,10302,2307,1328,38,29,12,11,2,32,4,2,4,79,0,0,2,2,6,0,100,0,10,33,0,24,3,43,5,3,3,136,2,24,236,4,7,1,0,26
10303,10303 - Mariners Harbour/Point Ivory,7250,8039,67,1262,0,2007,433,1408,1222,1414,1126,616,488,387,890,1622,1274,1010,1324,1412,1209,1154,360,451,255,400,358,250,240,189,10303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10303,3272,1253,38,31,6,7,3,54,4,1,13,77,0,0,1,2,3,2,35,1,6,26,0,15,0,30,3,22,15,53,10,67,356,9,4,0,0,30
10304,10304 - Stapleton/Fox Hills,20799,10873,200,3725,16,3352,1293,2245,3220,2408,1824,1183,589,904,1712,2768,2762,2472,2623,2413,2703,2323,1112,1513,805,828,1454,830,763,803,10304,2,0,0,0,0,0,0,0,2,3,7,7,9,16,17,17,14,15,22,31,0,0,0,0,0,0,0,0,0,0,4,5,4,10,12,13,14,16,21,75,10304,6068,1568,124,67,21,15,17,40,1,2,1,93,0,1,1,6,3,0,64,0,1,47,0,33,3,75,14,46,12,155,0,28,498,22,7,1,8,13
10305,10305 - Rosebank,32043,2297,388,4594,17,1682,1042,2474,2455,2480,1363,813,540,537,1670,3183,2978,2809,2896,2970,3055,2885,1362,1704,934,998,1272,902,970,815,10305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10305,6553,2311,164,56,21,13,6,15,1,7,1,134,3,3,2,3,2,0,147,0,5,62,0,10,1,94,9,45,21,121,4,43,862,17,11,0,4,19
10306,10306 - New Dorp/Richmondtown,48000,1186,22,2993,0,1193,702,2751,2935,3148,2126,1243,529,783,1954,3340,2963,3136,3836,3794,4028,4253,1476,2022,1059,1555,2436,1589,1468,1669,10306,0,0,0,0,0,0,2,2,2,2,3,6,8,12,17,21,18,25,36,53,0,0,0,0,0,0,0,0,0,0,2,5,8,10,17,14,18,31,42,107,10306,11778,2914,96,55,13,15,4,4,0,1,0,107,1,0,3,3,1,0,162,0,8,62,0,18,8,122,13,72,18,119,1,27,1118,23,12,0,2,17
10307,10307 - Tottenville,14136,31,29,456,0,193,235,826,963,1262,642,310,238,213,690,1082,847,892,1120,1326,1544,807,240,311,306,449,364,253,181,213,10307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10307,2227,1380,13,9,2,1,1,8,0,0,1,30,0,0,0,1,0,0,21,0,3,18,0,11,1,10,3,40,3,31,0,30,317,4,6,0,0,12
10308,10308 - Great Kills,27478,74,58,1609,8,241,269,1314,1659,1871,1173,579,359,393,1123,1975,1591,1619,2383,2333,2308,2186,753,1185,579,910,1345,837,627,634,10308,0,0,0,0,0,0,0,0,0,0,0,3,5,6,8,6,13,13,14,22,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,8,10,13,19,35,10308,5822,1842,24,8,3,4,0,2,0,0,0,32,0,0,0,0,1,0,62,0,4,35,0,7,1,26,7,52,13,44,13,16,244,9,5,0,2,6
10309,10309 - Princes Bay/Woodrow,30154,473,74,1781,0,859,446,1963,2459,2075,1539,520,387,573,1087,2126,2056,2156,2869,2196,2697,2699,863,1246,719,825,1223,706,389,414,10309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10309,5261,2957,12,0,0,2,0,85,1,3,8,100,2,1,2,0,2,0,56,1,17,30,0,10,5,53,7,265,11,46,4,13,707,10,6,0,0,51
10310,10310 - West New Brighton,14749,5185,4,1266,0,1759,951,1643,1666,1900,1004,709,314,324,904,1611,1473,1449,1653,1599,1818,1543,610,950,480,495,593,374,467,339,10310,0,0,0,0,0,0,0,0,0,0,0,3,6,7,8,6,7,6,5,15,0,0,0,0,0,0,0,0,0,0,3,2,4,4,4,5,9,12,9,23,10310,3723,1408,48,71,12,8,2,27,2,1,16,150,0,1,2,3,1,0,70,0,2,47,0,30,2,72,5,17,7,119,7,7,173,11,8,2,1,27
10312,10312 - Eltingville/Annadale,56751,579,63,3107,47,597,576,3225,3322,4107,2507,1271,781,683,2485,3406,3758,3915,4406,4793,4464,4647,1606,2462,1683,2063,2715,1496,1072,852,10312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10312,13319,3903,24,12,2,2,0,1,0,0,0,54,0,0,1,0,0,0,44,0,11,25,0,20,3,77,6,337,14,74,0,27,854,15,15,0,0,16
10314,10314 - Castleton Corners/New Springvill,64411,3703,73,11669,157,1660,1881,4882,4467,5142,2793,1891,1083,1098,3040,5583,5250,4835,5260,6241,6488,5678,2511,3383,2040,2924,3056,2322,1529,2059,10314,0,0,0,0,0,0,0,2,3,4,6,6,15,13,29,34,35,34,49,85,0,0,0,0,0,0,0,0,0,0,4,4,8,15,22,20,32,36,53,184,10314,12445,6308,104,21,9,11,2,63,4,0,3,95,6,2,1,9,3,0,153,5,26,39,0,44,3,127,9,71,67,125,3,19,530,29,29,0,0,17
10451,10451 - Melrose,5243,17288,259,1099,40,21479,1826,3394,3724,3439,2137,1604,893,689,2196,3802,3439,3046,2737,3307,2841,2486,936,1360,669,966,1335,921,585,727,10451,0,0,0,0,0,2,0,3,5,4,4,7,13,12,17,15,16,16,14,17,2,0,0,0,0,0,0,2,0,0,3,6,9,7,9,14,16,17,24,43,10451,48,67,194,16,94,0,86,61,17,3,22,105,2,1,3,0,1,1,64,0,3,33,2,29,0,43,2,20,10,71,4,26,137,28,9,26,16,17
10452,10452 - Highbridge,8450,24263,159,770,25,39521,2936,6032,6362,6233,3782,2175,1264,1476,3989,5798,5928,4726,5379,5086,4908,4178,1510,1529,931,926,1866,894,642,508,10452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10452,74,224,188,24,216,1,219,14,2,0,2,143,2,1,7,1,0,0,96,0,0,12,0,32,5,7,5,54,3,28,0,8,118,21,7,0,24,14
10453,10453 - Morris Heights,8443,25283,593,1282,52,42173,2005,6368,6321,6021,3775,2561,1779,1579,4447,6909,5954,4947,4789,5056,5676,4489,1270,1784,1158,1386,1623,1027,504,408,10453,4,0,0,0,0,0,4,4,3,5,8,14,15,24,24,22,11,8,14,12,2,0,0,0,0,2,2,2,0,4,4,11,10,19,15,15,19,21,15,34,10453,161,691,249,54,222,15,235,10,0,0,2,85,0,1,4,2,0,0,93,0,0,12,0,27,7,14,8,43,3,36,0,4,66,29,6,2,16,7
10454,10454 - Mott Haven/Port Morris,6029,11360,340,278,0,19900,1039,3314,3254,3585,1955,1454,1048,740,2071,2911,2879,3113,2074,2372,2083,1644,570,650,401,404,959,698,500,268,10454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10454,218,360,143,14,198,7,73,96,28,3,55,127,1,1,2,0,1,0,46,1,0,19,1,32,4,15,3,24,3,53,5,26,91,17,4,27,3,36
10455,10455 - The Hub/Longwood,4191,14520,247,447,126,25681,1283,4307,4036,3580,2315,1071,887,899,2217,4098,3697,3326,2415,2613,2731,2449,1113,803,659,597,1072,791,453,367,10455,0,0,0,0,0,0,0,2,0,2,3,6,14,11,15,14,13,14,9,11,0,0,0,0,0,0,0,0,0,2,2,5,7,4,8,10,9,12,13,22,10455,140,387,322,38,187,5,74,49,3,0,12,122,1,0,2,0,2,0,90,3,0,39,2,30,15,27,2,22,8,43,0,9,79,17,6,36,13,7
10456,10456 - Morrisania,7766,37165,865,804,0,40938,2547,7679,7410,7356,4457,2682,1595,1929,4706,7309,5696,5472,5294,6137,5548,5155,1809,2110,1407,1525,1969,1041,777,1023,10456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10456,292,548,551,79,422,4,144,33,8,2,11,164,0,2,7,4,0,0,75,0,0,12,2,79,17,5,10,43,13,83,0,4,185,27,4,18,27,22
10457,10457 - Tremont/East Tremont,8756,25253,304,1032,52,36581,2584,6740,6163,5736,3993,2512,1245,1370,3546,6317,5289,4886,4703,4844,4661,3974,1091,1263,936,1266,1761,1064,690,512,10457,3,2,0,0,0,0,3,2,2,2,8,17,23,24,24,24,20,21,16,16,2,2,0,0,0,0,0,2,2,3,6,9,11,17,14,15,15,15,22,37,10457,328,671,497,50,323,6,168,60,20,6,21,208,4,5,7,4,2,0,98,0,0,34,1,78,14,20,6,38,3,88,0,10,157,37,13,7,41,35
10458,10458 - Belmont/Fordham/Bedford Park,15638,16805,368,2655,69,43464,3524,6719,5813,6274,3660,3935,2687,1928,4249,7187,6174,5341,5503,4875,4815,3795,1470,2183,1156,1128,1517,1028,547,541,10458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10458,230,602,391,73,574,5,170,14,5,2,1,132,3,1,2,2,2,0,126,3,0,52,0,41,10,24,5,23,4,135,0,8,67,21,8,5,28,9
10459,10459 - Longwood/Morrisania,5715,15538,294,512,0,24770,1309,3913,3785,3741,2285,1758,836,783,2470,4378,3281,3204,2728,3054,2715,2573,781,1361,540,833,987,1050,597,485,10459,2,2,0,0,0,2,3,2,3,3,5,5,14,19,14,14,18,11,10,16,2,0,0,0,0,0,0,0,0,2,3,7,9,7,6,10,13,10,14,28,10459,350,680,449,91,208,15,102,20,6,1,3,107,4,0,7,2,1,1,75,0,0,17,0,61,13,4,6,30,15,81,0,3,134,18,4,59,27,9
10460,10460 - West Farms/Crotona,7906,17337,109,1084,0,31228,1496,5088,4395,4387,2957,1886,728,783,3288,5448,4101,3771,2851,4321,4337,2835,1133,1355,747,1066,1681,1130,416,456,10460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10460,237,877,562,130,240,15,131,28,18,1,6,134,1,0,1,3,1,0,72,0,2,18,1,37,10,14,7,46,4,64,0,15,149,20,8,2,25,14
10461,10461 - Westchester/Morris Park,23455,4493,252,5364,6,13796,2116,3141,2346,2836,1598,736,772,607,2014,3928,4226,3692,3254,3960,3416,3137,1179,1157,888,1049,1538,1297,1344,1366,10461,0,0,0,0,0,0,2,0,3,0,5,7,11,13,15,16,15,24,29,43,0,0,0,0,0,0,0,0,0,2,2,2,7,10,8,13,15,19,29,81,10461,2181,2741,909,277,128,11,54,52,20,8,15,219,1,7,4,4,6,0,157,0,0,61,0,23,6,110,11,11,7,192,0,22,223,21,6,1,8,15
10462,10462 - Parkchester/Van Nest,18351,21464,458,9689,0,26200,3597,5381,5474,4628,2721,1749,1210,957,3769,7013,6857,6217,5211,4717,5733,5234,1637,2348,1207,1560,2216,1574,1345,1003,10462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10462,687,1984,693,175,128,5,73,33,9,4,1,154,0,0,1,2,2,0,142,0,0,30,0,37,3,40,11,13,8,193,0,16,161,19,15,0,25,13
10463,10463 - Kingsbridge (full),30825,11594,446,2877,85,22156,3758,5043,4644,3623,2226,1367,1316,890,2172,5698,6050,4687,4477,4957,3904,4388,1618,2363,1845,2080,2333,2134,1576,2351,10463,0,0,0,0,0,0,0,2,0,2,5,6,10,15,23,24,24,33,34,96,0,0,0,0,0,0,0,0,0,2,2,5,7,7,18,19,19,28,53,204,10463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10464,10464 - City Island,3068,27,0,205,0,719,15,144,93,409,105,46,88,51,187,43,256,175,217,274,456,152,121,187,231,101,364,170,62,102,10464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10464,808,253,38,19,6,0,2,8,1,2,1,27,0,0,0,0,0,0,27,0,0,12,0,7,1,7,6,19,5,46,4,1,146,2,4,0,4,24
10465,10465 - Throgs Neck/Country Club,27245,5249,67,1500,8,9463,1447,2554,2681,2316,1415,1566,928,768,1858,2655,2445,3053,2783,2868,3277,3034,1374,1734,1058,1254,1606,1444,937,1373,10465,0,0,0,0,0,0,0,0,3,2,3,5,9,11,15,15,15,19,23,35,0,0,0,0,0,0,0,0,0,0,2,3,5,6,7,12,16,19,31,102,10465,3830,2890,544,83,7,1,8,16,2,0,0,83,1,0,1,1,1,1,61,0,1,17,0,16,4,38,17,24,26,57,0,3,338,12,20,0,2,51
10466,10466 - Wakefield,6970,50741,526,1858,89,9170,1781,4435,4183,4806,3045,2087,1149,1314,3607,5369,4145,4114,4821,5136,5287,4785,1619,2228,1045,2171,2079,1428,1293,990,10466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10466,2773,3806,1233,245,128,3,40,34,12,2,8,174,2,1,3,2,0,0,130,0,1,25,0,45,8,29,6,8,1,104,0,8,325,20,13,1,4,20
10467,10467 - Norwood/Williamsbridge,20479,36573,738,6410,7,34332,4263,8742,7233,6620,3762,2632,1534,1702,4823,8816,8507,7157,6370,6602,6667,4959,2495,2824,1412,2120,2785,2066,1509,1464,10467,3,0,0,0,0,2,4,5,7,10,11,14,19,29,26,26,33,29,29,51,2,2,0,0,0,0,0,2,2,4,6,12,15,14,21,24,26,24,38,109,10467,578,1682,728,236,317,3,234,14,1,1,1,99,2,15,14,8,10,0,167,0,0,38,0,57,7,43,6,15,9,174,0,6,138,29,7,1,29,12
10468,10468 - University Heights,10431,15254,611,2703,0,42569,3355,6577,5151,4573,2904,1764,1495,1141,4343,7034,6149,4920,4615,4744,5135,4358,1498,1687,881,1334,1769,962,1093,796,10468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10468,218,333,144,29,315,6,168,15,0,0,1,56,3,1,0,7,1,1,83,0,0,17,0,25,6,10,1,29,2,43,0,8,39,22,4,11,22,2
10469,10469 - Williamsbridge/Baychester,12831,39679,613,3799,127,12358,2040,3863,4256,4447,3378,1955,1228,1107,3122,4784,4682,4470,4879,4982,5481,4072,1647,2363,1472,1584,2419,2081,1534,1641,10469,0,0,0,0,0,3,2,2,2,2,3,6,9,14,23,22,31,32,39,56,0,0,0,0,0,0,0,0,0,2,2,4,6,15,16,18,21,30,44,127,10469,4292,4905,960,144,47,2,7,14,5,1,2,173,4,0,1,10,2,0,116,0,2,30,0,49,9,35,7,8,4,137,1,22,302,15,13,1,1,9
10470,10470 - Woodlawn/Wakefield,6921,5478,1,522,0,1598,248,954,768,713,399,191,114,240,734,1427,991,965,918,1138,982,1055,286,531,205,381,498,505,380,391,10470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10470,686,907,243,53,58,3,21,24,8,3,1,71,1,0,0,0,0,0,37,0,0,23,0,15,3,13,2,10,0,49,0,13,74,3,3,0,8,5
10471,10471 - Riverdale/Fieldston,15394,1800,47,1587,0,2338,683,1562,1026,926,499,1098,615,302,513,1424,1406,1307,1353,1479,1041,1183,598,888,528,756,840,805,647,1054,10471,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,7,9,9,17,53,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,6,13,22,146,10471,1251,398,112,9,17,1,19,0,0,0,0,26,2,0,0,6,1,0,31,0,1,7,0,15,7,11,4,13,4,22,0,4,321,27,7,0,33,3
10472,10472 - Soundview,12033,19596,614,4012,0,29088,3623,5646,5445,4747,3091,1972,1158,1042,3490,6057,5392,4963,3984,5023,3403,3379,1167,1709,874,1540,1847,1509,618,914,10472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10472,362,1541,1042,696,142,3,62,13,1,0,2,99,0,0,3,2,1,0,96,0,0,15,0,32,1,7,3,6,1,75,0,6,83,12,2,0,9,7
10473,10473 - Clasons Point,22029,24530,262,1295,0,11682,1976,3602,3735,4796,2544,1784,954,1312,3365,4517,3681,3706,3559,4082,4576,3940,1585,1861,1324,1367,1988,1662,898,937,10473,0,0,0,0,0,0,4,2,3,2,6,6,10,18,17,20,24,21,19,27,0,0,0,0,0,0,0,0,0,2,5,5,10,10,13,17,23,23,23,56,10473,1320,2071,693,49,20,5,32,19,2,1,3,92,0,0,2,1,0,0,42,0,3,10,0,22,6,8,6,48,9,44,0,3,225,11,16,0,7,7
10474,10474 - Hunts Point,1575,4223,43,54,43,6441,421,965,1091,1024,720,350,182,207,787,1063,1327,885,749,948,891,392,146,217,172,180,219,64,112,107,10474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10474,6,206,125,36,50,1,21,164,102,4,42,159,0,0,0,0,0,0,18,0,0,9,0,9,5,10,2,9,1,8,1,14,115,7,7,15,4,70
10475,10475 - Co-op City/Eastchester,6795,28547,143,515,0,7056,1972,1893,2334,2008,1382,1093,938,464,2238,2105,1871,2598,2913,3736,2903,3204,1413,1847,1354,1250,2534,2086,1358,1506,10475,0,0,0,0,0,0,0,0,0,0,4,5,6,11,22,18,16,16,25,43,0,0,0,0,0,0,0,0,0,0,2,4,4,10,11,10,20,27,32,86,10475,173,188,89,3,0,0,5,43,0,3,0,65,3,0,0,2,1,0,18,1,4,11,0,4,5,8,0,10,1,9,0,7,147,4,5,0,3,8
11370,11370 - Jackson Heights-Rikers Island (Bronx only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11370,1184,1594,1073,52,8,2,2,4,2,0,0,25,5,0,0,0,0,0,14,0,2,10,0,5,2,8,1,13,14,39,7,0,26,3,4,0,1,6
11001,11001 - Floral Park,1741,75,4,2335,0,135,35,224,239,176,111,39,46,14,205,297,232,217,314,276,357,447,64,277,88,148,210,157,96,91,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11001,988,165,24,0,0,1,0,1,0,0,0,16,1,0,0,0,0,0,6,0,0,5,0,0,0,3,0,0,0,6,0,1,25,1,0,0,0,0
