MapID.x,Area Name,White alone persons,Black or African-American alone persons,Native American alone persons,Asian alone persons,Pacific Islander alone persons,Other race alone persons,Persons of two or more race,Persons under 5 years,Persons 5-9 years,Persons 10-14 years,Persons 15-17 years,Persons 18 and 19 years,Persons 20 years,Persons 21 years,Persons 22-24 years,Persons 25-29 years,Persons 30-34 years,Persons 35-39 years,Persons 40-44 years,Persons 45-49 years,Persons 50-54 years,Persons 55-59 years,Persons 60 and 61 years,Persons 62-64 years,Persons 65 and 66 years,Persons 67-69 years,Persons 70-74 years,Persons 75-79 years,Persons 80-84 years,Persons 85 years and over,MapID.y,Male age at death under 28 days - 2011-13 Avg,Male age at death 1-12 months - 2011-13 Avg,Male age at death 1-4 years - 2011-13 Avg,Male age at death 5-9 years - 2011-13 Avg,Male age at death 10-14 years - 2011-13 Avg,Male age at death 15-19 years - 2011-13 Avg,Male age at death 20-24 years - 2011-13 Avg,Male age at death 25-29 years - 2011-13 Avg,Male age at death 30-34 years - 2011-13 Avg,Male age at death 35-39 years - 2011-13 Avg,Male age at death 40-44 years - 2011-13 Avg,Male age at death 45-49 years - 2011-13 Avg,Male age at death 50-54 years - 2011-13 Avg,Male age at death 55-59 years - 2011-13 Avg,Male age at death 60-64 years - 2011-13 Avg,Male age at death 65-69 years - 2011-13 Avg,Male age at death 70-74 years - 2011-13 Avg,Male age at death 75-79 years - 2011-13 Avg,Male age at death 80-84 years - 2011-13 Avg,Male age at death 85+ years - 2011-13 Avg,Female age at death under 28 days - 2011-13 Avg,Female age at death 1-12 months - 2011-13 Avg,Female age at death 1-4 years - 2011-13 Avg,Female age at death 5-9 years - 2011-13 Avg,Female age at death 10-14 years - 2011-13 Avg,Female age at death 15-19 years - 2011-13 Avg,Female age at death 20-24 years - 2011-13 Avg,Female age at death 25-29 years - 2011-13 Avg,Female age at death 30-34 years - 2011-13 Avg,Female age at death 35-39 years - 2011-13 Avg,Female age at death 40-44 years - 2011-13 Avg,Female age at death 45-49 years - 2011-13 Avg,Female age at death 50-54 years - 2011-13 Avg,Female age at death 55-59 years - 2011-13 Avg,Female age at death 60-64 years - 2011-13 Avg,Female age at death 65-69 years - 2011-13 Avg,Female age at death 70-74 years - 2011-13 Avg,Female age at death 75-79 years - 2011-13 Avg,Female age at death 80-84 years - 2011-13 Avg,Female age at death 85+ years - 2011-13 Avg,MapID,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous
11004,11004 - Glen Oaks,6810,842,32,5244,0,287,532,710,517,457,295,192,147,244,625,927,1024,645,605,963,957,1129,419,651,269,543,586,506,478,858,11004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11004,2247,90,26,0,0,0,1,0,0,0,0,5,0,1,1,1,0,0,23,0,1,8,0,7,0,18,3,4,0,21,0,3,15,2,1,0,16,0
11005,11005 - North Shore Towers,2383,299,0,675,0,98,103,207,144,67,51,40,0,74,122,172,219,198,125,240,276,308,105,111,64,119,144,196,171,405,11005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11040,11040 - New Hyde Park,1009,100,0,828,0,33,122,117,70,58,37,23,21,27,102,141,157,94,71,153,180,166,62,116,58,87,95,64,88,106,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,11040,520,41,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,9,0,0,2,0,1,1,3,0,0,0,5,0,0,6,0,0,0,3,0
11101,11101 - Long Island City/Hunters Point,16433,4153,180,6904,32,3102,1471,2047,1270,1066,547,646,393,348,1223,4241,4577,3190,2562,2484,1762,1279,880,845,383,541,653,753,262,323,11101,0,0,0,0,0,0,2,0,0,2,2,0,6,5,6,7,6,7,4,9,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,4,4,9,8,14,11101,107,378,185,208,117,5,47,369,269,8,261,383,33,1,1,0,2,9,57,0,3,76,11,23,2,141,10,14,40,211,1,53,203,25,17,10,0,31
11102,11102 - Old Astoria,19713,3722,137,5625,30,4118,1051,1736,1308,1448,962,502,480,378,1802,4960,4485,3102,2183,1921,2226,1703,670,631,624,699,912,543,478,644,11102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11102,156,892,603,331,261,3,78,39,16,0,16,98,0,3,0,1,3,0,31,0,0,23,0,20,1,23,13,18,30,242,1,10,64,4,3,6,3,12
11103,11103 - Astoria,25567,1070,96,5560,53,3060,1073,1490,999,1279,759,537,222,385,2090,6091,5220,3207,2404,2022,2145,1930,634,904,579,658,1014,806,637,467,11103,0,0,0,0,0,0,0,0,0,2,2,3,4,3,6,5,8,10,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,5,9,11,36,11103,399,1180,1044,635,311,1,33,51,20,2,6,76,1,0,0,0,0,0,122,0,0,113,0,12,0,50,9,2,13,363,0,6,52,6,7,6,6,3
11104,11104 - Sunnyside,17970,619,68,6290,0,2389,899,1492,1265,1106,713,373,231,265,835,2939,3071,2801,2791,1953,1887,1620,720,866,597,617,757,622,414,302,11104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11104,411,548,221,172,101,1,54,8,6,0,4,68,1,0,0,0,0,0,40,0,0,15,0,7,0,8,1,4,12,70,0,0,31,5,1,0,35,0
11105,11105 - Steinway,27550,797,109,4882,0,2613,1012,1817,1422,1281,843,492,289,420,2172,5037,4895,3277,2220,2571,2171,2182,757,875,598,709,736,853,717,629,11105,0,0,0,0,0,0,0,0,0,0,2,4,4,4,7,8,7,12,14,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,6,11,22,48,11105,971,2409,958,284,120,29,9,84,27,0,5,84,0,0,1,0,0,0,62,0,2,44,0,17,0,32,8,10,6,269,0,26,64,7,5,0,1,13
11106,11106 - Ravenswood,22064,2823,101,7498,22,4810,1781,1947,1645,1283,718,519,445,195,1953,5359,4670,4224,3012,2570,2252,1871,704,864,767,902,1220,723,559,697,11106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11106,201,928,559,376,236,2,57,79,50,0,53,113,1,1,4,1,1,2,51,0,1,61,0,18,2,28,7,10,20,225,0,3,55,14,3,12,8,11
11201,11201 - Brooklyn Heights/Cobble Hill,37407,7862,30,6537,108,3250,2956,4021,2447,1505,950,1404,693,765,2062,6548,8549,5901,4828,3813,2955,2605,1143,1544,655,1147,1648,947,939,1080,11201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11201,371,470,324,235,333,5,89,32,1,2,22,96,17,4,12,2,0,3,72,3,0,129,15,37,5,101,7,41,160,373,18,20,90,40,14,0,256,16
11203,11203 - East Flatbush,3807,70181,100,1323,11,2403,1080,4824,4723,4545,3028,1889,1139,1025,3356,5784,5229,4597,5425,4913,5378,5455,1885,2876,1675,2183,3333,2539,1489,1620,11203,3,2,0,0,0,2,4,0,2,4,9,10,12,18,26,25,27,28,29,33,3,0,0,0,0,0,0,0,2,0,5,7,13,10,17,19,29,29,35,80,11203,3827,4254,900,543,154,4,43,70,13,5,16,206,1,7,4,5,1,0,145,0,0,56,0,80,1,34,11,7,13,409,0,1,117,49,8,1,7,25
11204,11204 - Parkville/Bensonhurst,50311,690,126,25380,0,4870,1063,7081,6221,5741,3457,1716,1140,811,3003,6026,6195,5559,5474,4736,4727,4944,1928,2827,1966,1698,2069,1813,1505,1804,11204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11204,2062,4180,1270,828,138,0,51,30,5,4,4,48,0,0,1,2,2,0,132,1,0,89,0,82,1,50,7,3,145,658,0,23,80,57,5,1,15,8
11205,11205 - Fort Greene,21393,14310,67,3300,5,4130,1310,4168,3789,2928,1405,1454,986,928,2128,4086,4592,3622,2923,2316,2006,1778,828,807,597,738,839,705,492,399,11205,0,0,0,0,0,0,2,3,0,3,2,6,5,9,10,11,14,13,10,12,2,0,0,0,0,0,0,0,0,0,0,5,5,6,8,9,14,11,11,24,11205,107,576,528,319,153,28,73,127,22,3,77,185,1,2,6,2,0,0,50,0,0,21,3,47,2,25,6,7,185,326,0,0,252,34,7,18,37,32
11206,11206 - Williamsburg/Bedford-Stuyvesant,38388,24587,636,5993,53,13627,3217,7205,7310,6173,3622,2219,1161,1145,5778,9995,7560,6070,4120,4289,4353,4032,1427,1818,1344,1566,1949,1630,1037,697,11206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11206,93,925,706,486,315,9,117,173,63,12,93,257,6,1,8,2,5,0,92,1,0,82,17,70,1,31,2,30,216,448,0,6,254,35,6,32,23,134
11207,11207 - East New York,13275,60104,364,1255,101,14792,1983,6696,6321,6470,4234,2497,1725,1561,5112,8356,6425,5617,5622,6240,6263,5826,1996,2248,1389,1840,2181,1377,1005,871,11207,4,3,0,0,0,2,7,5,3,6,10,16,21,26,31,30,27,25,25,28,3,2,0,0,0,0,0,0,3,4,7,12,20,22,22,26,24,30,30,72,11207,2105,4151,1612,708,168,15,48,118,32,6,78,471,5,0,9,6,5,0,113,0,6,82,0,128,33,30,9,75,16,575,0,45,538,43,14,94,6,145
11208,11208 - Cypress Hills,24735,53752,299,5875,114,12127,2442,8227,7939,6576,4674,2793,1573,1752,5003,8168,7310,6712,6290,6591,6778,5583,2415,2703,1439,1332,2440,1226,932,887,11208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11208,1765,5205,1629,485,126,16,13,110,48,5,22,299,3,0,10,5,4,1,90,1,0,64,0,89,5,16,7,46,6,558,0,17,507,30,19,4,3,85
11209,11209 - Bay Ridge,50087,1342,169,8977,19,3922,1934,4281,3655,2709,1658,1182,505,663,2385,5802,5753,4636,4546,4760,4941,4173,1723,2397,1454,1901,2634,1802,1460,1431,11209,2,0,0,0,0,0,2,0,2,2,3,8,13,16,18,16,30,25,34,59,0,0,0,0,0,0,0,0,0,2,2,4,6,9,14,15,16,22,39,113,11209,2949,2901,504,263,184,3,101,2,0,0,0,67,2,0,1,2,0,0,57,10,1,83,0,35,5,81,7,6,47,938,0,2,73,23,10,0,107,1
11210,11210 - Vanderveer,20006,38840,54,2898,0,2681,1282,4426,4577,4774,2850,2000,1264,1032,2577,4856,4158,3952,4883,4077,4209,4243,1779,2050,1343,1425,2076,1400,905,905,11210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11210,5150,1995,309,33,74,1,71,29,1,0,7,68,1,2,5,1,2,0,78,0,1,60,0,66,4,46,4,3,7,377,0,19,86,35,8,1,27,9
11211,11211 - Williamsburg,76434,6220,338,5297,28,8494,2472,10101,6279,5127,2954,1903,796,1158,5002,14702,12944,8905,5873,4420,4117,3656,1270,2162,1375,1446,1496,1236,880,1482,11211,0,0,0,0,0,0,0,4,3,3,3,4,5,11,16,12,11,15,18,36,2,0,0,0,0,0,0,2,0,2,2,3,0,8,8,9,10,11,25,67,11211,173,839,1030,653,419,3,163,129,24,8,67,183,3,0,5,2,5,1,67,0,0,80,0,96,6,42,12,24,229,901,2,2,146,35,11,67,61,41
11212,11212 - Brownsville,4873,73419,264,1343,0,6184,1480,7098,5404,6606,3792,2559,1353,1151,3781,7446,6469,5422,5774,6097,5669,4806,1759,2382,1443,2229,2266,1680,1226,1153,11212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11212,1588,1466,498,1289,234,5,65,63,5,1,35,143,1,1,4,3,6,0,168,0,1,134,0,76,11,22,9,37,2,361,0,17,258,33,7,8,5,44
11213,11213 - Brower Park/Crown Heights,13118,44915,204,1385,0,3944,1741,4908,4194,4136,2789,1765,1099,1279,3219,5903,5039,4190,3974,3878,4477,4030,1413,1847,875,1269,1685,1343,805,1190,11213,4,0,0,0,0,0,2,2,3,2,5,9,14,18,16,22,18,22,20,25,0,2,0,0,0,0,0,0,2,3,3,7,12,17,17,13,24,23,21,62,11213,695,1978,549,326,407,22,86,19,2,1,6,93,4,3,5,0,1,0,55,0,3,39,0,102,6,15,5,15,24,431,0,2,119,31,8,1,24,18
11214,11214 - Bath Beach/Bensonhurst,47659,1242,182,32827,4,7471,1233,5788,5097,4723,3071,1410,1036,1196,3203,7522,6791,6356,6413,5838,6634,6281,1977,3105,1898,2305,3010,2330,1994,2637,11214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11214,1016,3857,2136,777,169,1,59,22,0,3,2,128,1,0,2,3,2,1,197,0,1,114,0,29,5,43,15,15,129,548,1,0,178,22,7,0,32,13
11215,11215 - Park Slope/Windsor Terrace,53765,3336,183,5388,0,4509,4035,5644,4212,2798,1601,480,290,413,3004,7899,8733,8120,6115,4918,3683,3487,1416,1804,1341,1471,1567,950,596,674,11215,0,0,0,0,0,0,0,0,0,0,3,4,4,6,14,11,14,14,15,32,0,0,0,0,0,0,0,0,0,0,3,2,3,5,8,5,11,15,17,61,11215,857,3102,1590,665,619,5,43,126,24,4,66,170,4,2,8,0,3,1,66,0,0,70,2,51,4,43,12,15,258,743,0,11,131,26,11,8,352,27
11216,11216 - Bedford-Stuyvesant,13559,36840,190,2570,13,2440,1935,3007,2478,2394,1744,880,770,629,3775,8534,5944,4494,3948,3333,3561,3382,1149,1703,914,886,1455,1050,770,748,11216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11216,361,1808,1239,682,618,94,59,16,6,0,23,89,3,0,4,7,4,1,82,0,0,58,1,78,7,22,9,8,49,525,0,0,194,19,5,10,32,18
11217,11217 - Park Slope/Gowanus,21959,6839,77,2693,0,4309,1797,2746,1474,1442,819,316,238,254,1345,4673,5270,4025,2927,2556,1773,1878,832,1099,744,795,947,543,457,521,11217,0,0,0,0,0,0,0,2,0,2,2,4,4,9,7,10,14,13,10,16,0,0,0,0,0,0,0,0,0,0,0,3,6,4,8,9,10,11,12,41,11217,223,1024,718,344,249,77,22,55,12,1,51,99,6,1,3,4,3,4,50,0,1,45,7,39,7,39,6,34,146,489,0,3,89,17,12,6,153,15
11218,11218 - Kensington/Windsor Terrace,45097,6568,306,14149,0,8706,2764,7212,6096,5644,2895,1605,1040,685,3094,6513,6541,6285,5139,4252,4493,4009,1540,2574,1333,1477,1728,1285,1029,1121,11218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11218,1377,2658,937,383,126,3,80,55,11,5,18,141,2,0,2,6,2,0,104,0,0,48,0,39,5,27,11,13,93,534,0,3,77,37,11,0,72,22
11219,11219 - Borough Park,61447,1125,232,22675,0,6044,901,11239,8974,7619,4340,1918,1532,1305,4367,7547,6539,4986,5158,4034,4437,4282,1728,2208,1687,1645,1617,1440,1411,2411,11219,2,0,0,0,0,2,2,0,2,3,2,4,7,12,16,17,14,22,32,87,0,0,0,0,0,0,0,0,0,0,0,3,8,6,11,8,13,20,35,153,11219,407,3081,1989,607,176,0,73,104,11,15,37,126,3,5,3,4,5,0,99,0,1,157,1,132,7,106,9,5,394,844,0,22,158,74,3,2,19,14
11220,11220 - Sunset Park,27553,2624,532,41691,15,27201,2716,8378,7636,6317,3082,2449,1207,1375,4127,10735,8988,8682,7494,6437,6426,5061,2165,2406,1402,1911,1958,1584,1440,1072,11220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11220,602,3986,1296,818,349,4,26,166,13,18,24,156,1,1,10,1,3,1,78,0,0,129,0,60,10,59,11,19,67,956,2,18,94,22,7,16,28,9
11221,11221 - Bushwick/Bedford-Stuyvesant,23962,44274,736,3060,5,8157,2435,5828,4667,4810,3177,2165,1489,1452,5509,9603,7164,5821,4670,5345,5002,4444,1431,1896,1375,1571,1854,1441,1022,893,11221,0,2,0,0,0,0,4,5,5,6,9,20,27,26,25,23,30,28,21,25,0,0,0,0,0,0,0,0,0,4,4,9,15,17,19,20,23,25,28,67,11221,391,3930,1976,809,436,14,59,37,2,1,25,187,3,0,3,3,11,0,74,0,0,44,4,118,7,15,9,21,20,546,0,2,353,29,7,1,28,53
11222,11222 - Greenpoint,30350,1240,138,2249,9,1849,1370,1493,1042,1003,577,478,368,300,1559,6211,6237,3914,2525,2213,1860,2108,667,1134,681,654,686,467,493,534,11222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11222,182,1014,976,763,440,2,26,315,82,10,136,193,2,0,1,0,0,16,53,0,2,26,9,35,3,45,12,9,90,602,2,5,67,6,6,84,20,76
11223,11223 - Gravesend/Homecrest,50747,3289,380,17753,165,5342,1546,6683,5039,4386,3236,1721,1041,777,3262,6878,5529,4925,4924,4677,4859,4889,1970,2309,1687,1964,2636,2473,1471,1885,11223,0,0,0,0,0,0,0,2,2,3,3,6,11,15,21,17,22,33,37,67,0,0,0,0,0,0,0,0,2,0,3,4,6,12,10,12,20,26,44,116,11223,2487,4364,1405,372,66,3,58,26,9,1,15,124,0,0,6,1,1,1,198,0,0,82,0,45,2,75,19,10,45,638,0,19,232,36,3,1,19,18
11224,11224 - Coney Island,22738,9534,91,3198,18,3793,1182,2132,2333,2108,1351,883,499,675,1292,2713,1809,2344,2197,2079,2687,2710,1340,1830,1229,1534,1787,2051,1416,1559,11224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11224,1214,509,163,126,33,7,70,17,4,0,9,156,0,0,2,4,2,0,58,0,1,22,0,22,6,8,28,19,13,88,2,14,225,9,11,1,9,26
11225,11225 - Crown Heights,13739,41687,167,1425,82,2775,1188,4157,3225,3555,1939,1083,841,767,3190,6381,6013,4490,3702,3437,3754,3603,1404,2130,1103,1493,1897,1036,1036,826,11225,0,0,0,0,0,0,0,0,3,4,4,9,13,9,14,16,16,17,14,22,0,0,0,0,0,0,0,0,0,2,3,4,7,10,15,16,19,16,22,55,11225,1200,1163,254,161,258,9,135,12,1,0,5,46,0,0,3,0,1,0,32,0,0,28,0,32,3,17,2,4,30,394,0,12,68,30,8,1,20,5
11226,11226 - Flatbush,13014,70178,150,3833,11,10782,3312,7152,6373,6317,3869,2187,1400,1508,4682,9761,8672,7494,6815,6143,6335,5580,2495,3245,1967,2196,2595,1838,1458,1199,11226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11226,1124,1359,675,169,403,8,291,15,2,0,4,84,0,0,4,3,5,1,146,1,0,125,0,69,7,29,7,4,14,672,0,18,60,24,4,0,37,4
11228,11228 - Dyker Heights,26435,384,123,16174,33,2045,373,3138,2491,2431,1735,1022,419,564,1600,3150,3507,3116,3308,3207,3096,2982,1112,1667,931,1141,1515,1113,1151,1169,11228,0,0,0,0,0,0,0,0,2,0,0,3,7,10,10,12,13,15,24,42,0,0,0,0,0,0,0,0,0,0,0,3,4,3,8,7,10,13,24,87,11228,2419,3513,1078,162,33,0,3,0,0,1,4,34,0,1,1,1,0,0,35,0,0,44,0,12,3,33,5,3,41,375,0,0,41,10,2,1,5,0
11229,11229 - Homecrest/Madison,56201,4244,32,16080,106,3344,1565,5116,4618,4715,2847,1616,1018,967,3191,5572,5201,5287,4850,5435,5528,6271,2146,3528,2022,2247,3112,2512,1564,2211,11229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11229,6184,3558,477,111,63,3,109,3,1,0,0,138,0,0,9,3,2,0,166,0,0,97,0,53,4,110,23,24,64,362,1,9,387,31,28,1,48,43
11230,11230 - Midwood,59982,7144,472,11704,0,5452,1593,7708,6834,6132,3610,1894,1269,1354,3716,6369,5630,4989,4960,4564,4930,5100,1988,2866,1892,2050,2504,2071,1662,2254,11230,0,0,0,0,0,0,0,0,3,2,3,5,7,16,21,22,19,28,39,94,2,0,0,0,0,0,0,0,0,0,3,5,5,12,13,14,21,21,44,152,11230,3231,2432,608,185,132,1,155,16,8,2,11,84,1,0,5,8,2,1,140,0,0,63,0,79,8,62,5,9,53,454,0,30,118,48,5,0,61,10
11231,11231 - Carroll Gardens/Red Hook,25262,4926,132,2015,0,3516,1950,2948,2218,1569,995,546,234,225,1041,2876,5048,3944,3141,2855,1979,2340,860,1043,478,617,1103,593,638,510,11231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11231,251,850,979,735,208,10,19,174,12,2,105,213,2,0,3,0,2,1,31,0,1,17,3,23,2,32,5,30,124,501,5,5,315,11,24,1,79,82
11232,11232 - Industry City/Sunset Park,11168,1414,305,6166,32,9900,1488,1818,2216,1498,923,581,394,449,1691,3519,3351,2689,2158,2295,1874,1280,518,750,475,379,712,409,295,200,11232,0,0,0,0,0,0,0,2,0,0,2,3,3,5,7,4,4,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,4,3,6,13,11232,124,854,422,277,156,1,8,289,40,42,43,149,9,0,4,0,1,1,35,0,0,53,5,14,1,40,5,5,33,225,7,16,41,12,4,9,28,20
11233,11233 - Stuyvesant Heights,4811,55547,188,1249,0,6293,1488,5338,4906,4594,2857,1528,1110,1223,3718,5790,5483,4884,4569,4700,4801,3564,1128,1771,1122,1501,1912,1352,844,879,11233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11233,191,3290,2001,647,365,6,41,20,3,2,11,177,2,2,2,2,1,0,43,0,0,31,0,119,8,8,4,39,33,453,0,3,430,22,7,8,15,41
11234,11234 - Flatlands/Mill Basin,41596,45754,75,5143,11,3413,1364,5547,6133,6730,3788,2289,1335,1023,3818,6292,6355,5698,6248,6734,6855,7060,2573,4203,2371,2641,3498,2461,1591,2112,11234,0,0,0,0,0,2,2,4,2,2,5,8,11,15,22,27,25,30,34,67,0,2,0,0,0,0,0,0,0,2,4,4,9,17,18,23,17,35,38,120,11234,10564,6406,930,43,12,3,7,36,2,1,14,176,0,1,3,2,1,0,207,0,7,94,0,35,2,117,12,31,19,273,5,10,240,17,11,0,16,42
11235,11235 - Sheepshead Bay/Brighton Beach,63884,2354,308,12105,43,2632,1821,4741,4354,3617,2251,1336,746,816,2767,5401,5615,5135,5383,5339,6058,5491,2217,3598,2444,3043,3206,3697,2613,3278,11235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11235,2104,3179,857,196,55,46,119,10,1,1,3,76,4,1,3,9,0,2,205,0,1,87,0,34,1,128,12,25,173,304,4,12,203,29,7,0,75,18
11236,11236 - Canarsie,5458,86163,454,2665,0,3003,1095,5697,5564,6600,4090,2732,1675,1583,4543,7340,6540,5906,6719,6832,7545,7279,2567,3725,1978,2311,2902,1829,1414,1468,11236,4,2,0,0,0,0,2,2,4,3,4,7,19,16,20,27,22,26,19,45,2,0,0,0,0,0,2,0,5,4,6,9,13,18,21,23,22,32,33,89,11236,2918,8813,1462,119,14,0,9,104,14,3,25,200,0,0,4,13,5,0,125,0,11,46,0,54,1,62,7,35,28,209,0,40,233,31,12,0,3,56
11237,11237 - Bushwick,27032,9494,372,3878,0,9519,1632,3404,3065,3351,1880,1237,793,915,4099,7061,5754,4498,3568,2956,2631,2085,744,698,558,579,873,497,355,325,11237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11237,114,788,539,1336,214,1,19,170,67,7,65,165,1,1,5,0,0,2,72,0,0,48,7,24,4,18,2,18,24,518,0,12,60,13,14,2,2,83
11238,11238 - Prospect Heights,23946,22562,89,3470,14,2647,3022,3363,2351,2033,1084,619,566,605,2600,7187,7549,5544,4355,3383,2615,3104,1099,1680,1076,1150,1402,783,750,848,11238,0,0,0,0,0,0,0,3,0,0,4,6,6,11,10,15,16,16,17,23,0,0,0,0,0,0,0,0,2,2,3,6,4,9,11,10,13,14,21,62,11238,207,1095,871,540,443,66,93,39,9,1,45,171,4,0,5,5,5,2,54,0,0,30,7,76,4,15,10,42,151,465,1,15,275,21,5,23,131,22
11239,11239 - Starrett City,3821,7388,165,326,0,389,299,583,589,664,377,193,284,119,267,812,632,681,593,538,946,711,265,527,464,412,807,763,552,609,11239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11239,178,123,19,0,0,0,9,0,0,0,0,7,0,0,1,1,0,0,12,0,1,0,0,0,0,0,0,0,2,0,0,0,24,2,0,0,0,0
11354,11354 - Flushing,12968,1981,119,34804,38,5582,1867,2839,2523,2479,1343,725,574,451,2531,4754,4282,3749,3691,3972,5117,4861,1467,2364,1277,1546,1886,1804,1235,1889,11354,0,0,0,0,0,0,0,2,0,2,2,5,8,14,15,17,22,28,27,73,0,0,0,0,0,0,0,0,2,0,3,3,4,7,12,11,13,21,40,154,11354,2080,982,620,54,72,7,59,111,15,2,20,143,18,1,1,9,0,2,208,1,5,166,0,54,3,71,10,18,97,154,5,8,146,18,15,0,39,12
